isNewVisitor,fullReferrerIsSet,mediumIsSet,networkDomainIsSet,networkLocationIsSet,landingPagePathIsSet,sessions,bounceRate,pageviewsPerSession,timeOnPage,source,isSpam
0,1,1,1,1,0,1,0,5,54,github.com,0
0,1,1,0,0,0,1,100,1,0,github.com,0
0,1,1,1,1,0,1,0,11,213,github.com,0
0,1,1,1,1,0,1,0,3,87,github.com,0
0,1,1,1,1,0,1,0,2,868,github.com,0
0,1,1,1,1,0,1,0,7,20,github.com,0
0,1,1,1,1,0,1,0,2,252,github.com,0
0,1,1,1,1,0,1,0,2,19,github.com,0
0,1,1,0,0,1,2,50,2,777,github.com,0
0,1,1,0,1,1,1,100,1,0,github.com,0
0,1,1,1,1,1,1,0,7,1403,github.com,0
0,1,1,1,1,1,1,0,2,0,github.com,0
0,1,1,1,1,1,3,100,1,0,github.com,0
0,1,1,1,1,1,1,0,6,646,github.com,0
0,1,1,1,1,1,2,50,1.5,194,github.com,0
0,1,1,1,1,1,1,0,5,719,github.com,0
0,1,1,1,1,1,1,0,2,1,github.com,0
0,1,1,1,1,1,1,0,3,1852,github.com,0
0,1,1,0,0,0,11,100,1,0,google,0
0,1,1,0,0,1,1,100,1,0,google,0
0,1,1,0,0,1,2,50,1.5,3,google,0
0,1,1,0,0,1,1,0,2,44,google,0
0,1,1,0,0,1,2,100,1,0,google,0
0,1,1,0,0,1,1,0,2,3,google,0
0,1,1,0,0,1,1,0,19,797,google,0
0,1,1,0,0,1,1,0,4,279,google,0
0,1,1,0,0,1,6,100,1,0,google,0
0,1,1,0,0,1,4,75,1.25,169,google,0
0,1,1,0,0,1,1,0,2,36,google,0
0,1,1,0,0,1,5,80,1.2,69,google,0
0,1,1,0,0,1,5,80,1.2,54,google,0
0,1,1,0,0,1,3,66.666664,3.6666667,83,google,0
0,1,1,0,0,1,25,84,1.24,1834,google,0
0,1,1,0,0,1,2,50,5,88,google,0
0,1,1,0,0,1,1,0,2,436,google,0
0,1,1,0,0,1,58,74.13793,1.7413793,8344,google,0
0,1,1,0,0,1,15,60,3.6666667,1730,google,0
0,1,1,0,0,1,2,0,2,11,google,0
0,1,1,0,0,1,2,50,1.5,36,google,0
0,1,1,0,0,1,1,0,3,475,google,0
0,1,1,0,0,1,16,62.5,2.3125,775,google,0
0,1,1,0,0,1,4,100,1,0,google,0
0,1,1,0,0,1,4,75,2.5,129,google,0
0,1,1,0,0,1,19,89.47369,3.2105262,2637,google,0
0,1,1,0,0,1,57,78.947365,1.3508772,4637,google,0
0,1,1,0,0,1,11,81.818184,3.4545455,226,google,0
0,1,1,0,0,1,7,85.71429,1.5714285,37,google,0
0,1,1,0,0,1,12,50,6.6666665,2356,google,0
0,1,1,0,0,1,22,81.818184,1.9090909,338,google,0
0,1,1,0,0,1,1,0,2,28,google,0
0,1,1,0,0,1,15,73.333336,2.3333333,1481,google,0
0,1,1,0,0,1,3,66.666664,1.3333334,15,google,0
0,1,1,0,1,1,1,100,1,0,google,0
0,1,1,0,1,1,1,0,2,17,google,0
0,1,1,0,1,1,2,100,1,0,google,0
0,1,1,0,1,1,9,44.444443,17.555555,2013,google,0
0,1,1,0,1,1,4,100,1,0,google,0
0,1,1,0,1,1,1,0,13,1115,google,0
0,1,1,0,1,1,1,0,2,86,google,0
0,1,1,0,1,1,1,0,3,109,google,0
0,1,1,0,1,1,1,0,2,741,google,0
0,1,1,0,1,0,1,100,1,0,google,0
0,1,1,0,1,1,1,0,2,7,google,0
0,1,1,0,1,1,2,0,3,3692,google,0
0,1,1,0,1,1,1,0,4,495,google,0
0,1,1,0,1,1,1,0,2,46,google,0
0,1,1,0,1,1,1,0,6,39,google,0
0,1,1,0,1,1,1,0,2,6,google,0
0,1,1,1,1,1,1,0,2,512,google,0
0,1,1,1,1,1,1,100,1,0,google,0
0,1,1,1,1,1,1,0,2,6,google,0
0,1,1,1,1,1,3,66.666664,1.3333334,963,google,0
0,1,1,1,1,1,1,0,2,141,google,0
0,1,1,1,1,1,1,0,49,390,google,0
0,1,1,1,1,1,1,0,2,644,google,0
0,1,1,1,1,1,1,0,2,5,google,0
0,1,1,1,1,1,1,0,5,651,google,0
0,1,1,1,1,1,3,66.666664,1.3333334,411,google,0
0,1,1,1,1,1,2,50,5.5,290,google,0
0,1,1,1,1,1,1,0,2,48,google,0
0,1,1,1,1,1,1,0,2,38,google,0
0,1,1,1,1,1,1,0,33,3358,google,0
0,1,1,1,1,1,1,0,16,933,google,0
0,1,1,1,1,1,3,100,1,0,google,0
0,1,1,1,1,1,3,66.666664,2.6666667,82,google,0
0,1,1,1,1,1,1,0,5,90,google,0
0,1,1,1,1,1,2,100,1,0,google,0
0,1,1,1,1,1,7,42.857143,1.7142857,4249,google,0
0,1,1,1,1,1,1,0,2,245,google,0
0,1,1,1,1,1,1,0,2,23,google,0
0,1,1,1,1,1,1,0,2,185,google,0
0,1,1,1,1,1,2,50,2.5,188,google,0
0,1,1,1,1,1,2,0,2,162,google,0
0,1,1,1,1,1,4,50,1.5,526,google,0
0,1,1,1,1,1,3,66.666664,11.666667,197,google,0
0,1,1,1,1,1,2,50,1.5,1224,google,0
0,1,1,1,1,1,1,0,2,349,google,0
0,1,1,1,1,1,1,0,4,68,google,0
0,1,1,1,1,1,1,0,2,568,google,0
0,1,1,1,1,1,1,0,2,76,google,0
0,1,1,1,1,1,4,100,1,0,google,0
0,1,1,1,1,1,1,0,2,52,google,0
0,1,1,1,1,1,1,0,36,833,google,0
0,1,1,1,1,1,1,0,6,343,google,0
0,1,1,1,1,1,1,0,18,1145,google,0
0,1,1,1,1,1,1,0,5,295,google,0
0,1,1,1,1,1,1,0,31,2340,google,0
0,1,1,1,1,1,1,0,4,479,google,0
0,1,1,1,1,1,1,0,2,193,google,0
0,1,1,1,1,1,3,66.666664,1.6666666,116,google,0
0,1,1,1,1,1,1,0,8,53,google,0
0,1,1,1,1,1,2,50,2.5,27,google,0
0,1,1,1,1,1,1,0,8,96,google,0
0,1,1,1,1,1,1,0,2,170,google,0
0,1,1,1,1,1,1,0,2,120,google,0
0,1,1,1,1,1,1,0,4,25,google,0
0,1,1,1,1,1,1,0,12,28,google,0
0,1,1,1,1,1,1,0,5,38,google,0
0,1,1,1,1,1,1,0,14,30,google,0
0,1,1,1,1,1,1,0,3,13,google,0
0,1,1,1,1,1,1,0,12,40,google,0
0,1,1,1,1,1,1,0,2,198,google,0
0,1,1,1,1,1,1,0,2,263,google,0
0,1,1,1,1,1,1,0,3,478,google,0
0,1,1,1,1,1,2,50,4,1623,google,0
0,1,1,1,1,0,1,100,1,0,google,0
0,1,1,1,1,1,1,0,2,89,google,0
0,1,1,1,1,1,1,0,2,27,google,0
0,1,1,1,1,1,1,0,4,34,google,0
0,1,1,1,1,1,1,0,2,144,google,0
0,1,1,1,1,1,1,0,6,129,google,0
0,1,1,1,1,1,1,0,2,528,google,0
0,1,1,1,1,1,1,0,2,10,google,0
0,1,1,1,1,1,3,33.333332,34.333332,617,google,0
0,1,1,1,1,1,1,0,3,11,google,0
0,1,1,1,1,1,1,0,2,531,google,0
0,1,1,1,1,1,1,0,5,1334,google,0
0,1,1,1,1,1,2,50,2,691,google,0
0,1,1,1,1,1,1,0,5,1071,google,0
0,1,1,1,1,1,1,0,4,683,google,0
0,1,1,1,1,1,1,0,2,1370,google,0
0,1,1,1,1,1,1,0,3,36,google,0
0,1,1,1,1,1,2,50,2.5,207,google,0
0,1,1,1,1,1,1,0,2,13,google,0
0,1,1,1,1,1,1,0,4,111,google,0
0,1,1,1,1,1,1,0,20,27,google,0
0,1,1,1,1,1,3,66.666664,1.3333334,1549,google,0
0,1,1,1,1,1,1,0,3,48,google,0
0,1,1,1,1,1,1,0,5,16,google,0
0,1,1,1,1,1,1,0,11,1139,google,0
0,1,1,1,1,1,5,40,2.4,1396,google,0
0,1,1,1,1,1,1,0,33,1042,google,0
0,1,1,1,1,1,1,0,2,237,google,0
0,1,1,1,1,1,1,0,2,140,google,0
0,1,1,1,1,1,4,75,1.5,1075,google,0
0,1,1,1,1,1,1,0,10,122,google,0
0,1,1,1,1,1,1,0,14,1144,google,0
0,1,1,1,1,1,1,0,6,96,google,0
0,1,1,1,1,1,3,33.333332,4,650,google,0
0,1,1,1,1,1,1,0,2,477,google,0
0,1,1,1,1,1,1,0,3,182,google,0
0,1,1,1,1,1,3,33.333332,2.6666667,991,google,0
0,1,1,1,1,1,1,0,4,24,google,0
0,1,1,1,1,1,1,0,6,20,google,0
0,1,1,1,1,1,1,0,2,54,google,0
